Auto Brand,2017 YTD,2016 YTD
Acura,59833,67642
Alfa Romeo,2702,261
Audi,83555,78489
BMW,120124,124581
Buick,91017,87632
Cadillac,59493,58968
Chevrolet,799040,825503
Chrysler,82354,106614
Dodge,218430,222857
Fiat,12440,14383
Ford,1020169,1061586
Genesis,8306,8212
GMC,221741,211602
Honda,592260,585998
Hyundai,283547,306549
Infiniti,66872,53920
Jaguar,17719,8248
Jeep,333138,383478
Kia,239593,265755
Land Rover,30079,30943
Lexus,109362,125785
Lincoln,47062,44488
Maserati,5818,4261
Mazda,119282,119124
Mercedes-Benz,132966,134304
Mini,17792,20230
Mitsubishi,46951,43911
Nissan,609488,603641
Porsche,23052,22226
Ram,230950,214269
Smart,1757,2186
Subaru,252753,232860
Toyota,843423,873760
Volkswagen,133861,125205
Volvo,26802,28066